title,description,count,link
"
Here's Why You Did Not Want To Click On YouAreAnIdiot.org
",Many older traumatized internet users might remember accidentally clicking on this website and having it fry their computer. Where did it come from and how did it cause so much mayhem?,"1,024",/video/heres-why-you-did-not-want-to-click-on-youareanidiot-org
"
Halyna Hutchins Was A Cinematographer On The Verge Of A Breakthrough
","Cinematographer Halyna Hutchins died Thursday after being fatally shot on the New Mexico set of the film ""Rust,"" officials said. Actor Alec Baldwin discharged a prop firearm that killed Hutchins, 42, and injured Joel Souza, the film's director.",995,https://wapo.st/3ptf7oV?utm_source=digg
"
How To Keep Your Cholesterol In Check, According To Dietitians
",You can lower your risk of stroke and heart disease over time by keeping keeping a close eye on your cholesterol levels and adopting certain habits to keep them low.,"1,360",https://digg.com/food/link/how-to-keep-your-cholesterol-in-check-according-to-dietitians-KcNvT1vDXo?utm_source=digg
"
This Video Of A Pike Swallowing Another Fish Whole Proves That Nature Is Absolutely Metal
","""Here you see a good example that nothing is too big for a pike.""","1,752",/video/this-video-of-a-pike-swallowing-another-fish-whole-proves-once-again-that-nature-is-metal
"
Ohio Really Messed This One Up
","The state has a new license plate, the first in eight years, but there's a problem.","5,306",https://jalopnik.com/ohio-really-messed-this-one-up-1847911440?utm_source=digg
"
Here Are The 10 Companies With The Best Work-Life Balance In The US
",Analysts for Glassdoor combed through millions of employee reviews to find out which businesses have been best able to keep their workers physically and mentally healthy during the pandemic.,897,https://digg.com/productivity/link/here-are-the-10-companies-with-the-best-work-life-balance-in-the-us-jceHNLfVkm?utm_source=digg
"
Here's Why The World's Largest Terrestrial Vehicle Got Built
","At 314.9 feet tall, Bagger 293 is the biggest bucket-wheel excavator ever constructed — why did they need to build this thing?",850,/video/heres-why-the-worlds-largest-terrestrial-vehicle-got-built
"
Decoding The Hidden Language And Signs Of 'Squid Game' For Non-Koreans
","If you don't speak Korean, you may have missed these nuances and context that could enrich your viewing experience.","1,341",https://wapo.st/3jpwHqk?utm_source=digg
"
Someone Inserted Danny DeVito Into 'Squid Game' And Now We Want An 'Always Sunny' Crossover Episode
","Here's how long Frank Reynolds from ""It's Always Sunny in Philadelphia"" would last in ""Squid Game.""","1,734",/video/someone-inserted-danny-devito-into-squid-game-and-now-we-want-an-always-sunny-crossover-episode
"
Robo Umps Are Being Tested In The Minors. Would They Even Work?
","Several minor leagues served as the guinea pig for ideas that could improve the pace of play, including robo umps, pushing the mound back and bigger bases. Were they effective?",232,https://www.theringer.com/mlb/2021/10/21/22736400/experimental-rules-atlantic-league-robo-umps?utm_source=digg
"
This Is What Happens When You Try Pole Dancing At Home Without Installing The Pole Properly
",A pole was harmed in the making of this film.,"1,960",/video/this-is-what-happens-when-you-try-pole-dancing-at-home-without-installing-the-pole-properly
"
Bystanders Didn't Intervene As A Woman Was Raped. In Fact, They May Have Filmed It
","If a woman can't get help while she is being raped in public, what is the hope for people who are raped or assaulted behind closed doors? ","1,263",https://www.glamour.com/story/bystanders-didnt-intervene-as-a-woman-was-raped-they-may-have-filmed-it-police-say?utm_source=digg
"
'Delinquent' Matt Gaetz Currently Blocked From Practicing Law
",Matt Gaetz is facing an investigation for underage sex trafficking and has had fundraising slow down to a drip. Now he's been deemed ineligible to practice law in Florida.,565,https://www.thedailybeast.com/delinquent-matt-gaetz-currently-blocked-from-practicing-law?utm_source=digg
"
Here Are The Biggest Differences Between David Lynch And Denis Villeneuve's 'Dune' Movies
","These are the 64 biggest differences between the 1984 ""Dune"" and the 2021 ""Dune.""","1,056",/video/david-lynch-denis-villeneuve-dune-movies-differences
"
Elton John: 'I Can Still Explode At Any Moment. I Just Have Terrible Feelings About Myself'
","Despite a dodgy hip, the superstar remains youthful thanks to pop star friends like Dua Lipa — but is still struggling with anger and childhood trauma. He explains how fatherhood is making him a better man.",24,https://www.theguardian.com/music/2021/oct/22/elton-john-i-can-still-explode-at-any-moment-i-just-have-terrible-feelings-about-myself?utm_source=digg
"
UT Rio Grande Valley To Offer Free Tuition For Students With Family Income Less Than $100k
","The University of Texas Rio Grande Valley will offer free tuition to students whose gross family income is less than $100,000 starting in fall 2022.",9,https://www.kxan.com/news/texas/ut-rio-grande-valley-to-offer-free-tuition-for-students-with-family-income-less-than-100k/?utm_source=digg
"
Please Enjoy The Joyous Chaos During Rush Hour At The Animal Rescue Center In Wiltshire
",This is truly is the best video YouTube has to offer us.,"1,155",/video/please-enjoy-the-joyous-chaos-during-rush-hour-at-the-animal-rescue-center-in-wiltshire
"
A Family Of Three And Their Dog Died Mysteriously On A Hike. We Finally Know Why
","Investigators say a couple, their infant daughter, and family dog died of hyperthermia and possible dehydration while hiking in California this summer.","2,177",https://www.buzzfeednews.com/article/davidmack/california-hiking-family-died-heat-gerrish-chung?utm_source=digg
"
After 'Grand Theft Auto III,' Open-World Games Were Never (And Always) The Same
","Twenty years ago, ""Grand Theft Auto III"" set a new standard for open-world video games. The titles it inspired have grown bigger and busier, but it takes more than massive maps to give gamers the freedom they felt on their first trip to 3-D Liberty City.",250,https://www.theringer.com/2021/10/22/22737333/grand-theft-auto-gta-rockstar-open-world-assassins-creed?utm_source=digg
"
Jerry Seinfeld Reveals His All-Time Favorite Joke From The Show, And Why He Never Made Any Spin Offs
","Jerry Seinfeld reveals that his favorite joke from the show takes place in a hospital, and then explains why he walked away from the TV industry after nine seasons and 180 episodes.","2,604",/video/jerry-seinfeld-reveals-his-favorite-joke-from-the-show-and-why-he-never-made-any-spin-offs
"
America Has A Sperm Shortage. One Man Is Reaping All The Benefits
","To fill the donor void, a new means of sperm donation is on the rise: Facebook groups. Elaine Byrd got involved in the community first as a moderator, then as a recipient. That's how she met Ari Nagel, aka the Sperminator, a superdonor with nearly a hundred biological children and counting.",473,https://www.esquire.com/news-politics/a37982793/sperm-donor-shortage-facebook-groups/?utm_source=digg
"
Larry's Fifty Funniest Grievances On 'Curb Your Enthusiasm,' Ranked
","From the deeply relatable to the wonderfully petty, these are our favorites of LD's peeves.",831,https://www.insidehook.com/article/television/larrys-50-funniest-grievances-curb-your-enthusiasm-ranked?utm_source=digg
"
CNN Confronted An Anti-Vaxxer Doctor, Who Is One Of The Biggest Spreaders Of COVID-19 Disinformation Online, And Things Got Uncomfortable
",CNN's Drew Griffin called out Dr. Rashid Buttar for the lies he's been spreading about COVID-19 and things got a little heated.,"2,836",/video/cnn-confronted-an-anti-vaxxer-doctor
"
The American Cities Where A $1 Million Retirement Would Last The Longest, Ranked
","If you're trying to get your retirement to last the longest with $1 million, Memphis, Tennessee is the best big city to retire.","2,717",/2021/the-american-cities-where-a-1-million-retirement-would-last-the-longest-ranked
"
The Los Angeles Lakers' Only Victory This Season Came From When They Successfully Kicked This Fan Out Of The Front Row
",A fan at Staples Center was ejected from the game after an incident on the sideline with Rajon Rondo.,542,/video/the-lakers-only-victory-this-season-came-from-when-they-successfully-kicked-this-fan-out-of-the-front-row
"
Am I Responsible For My Cousin's Choice To Put A Lightbulb In His Mouth, And Other Advice Column Questions
",A roundup of the most interesting questions that our favorite columnists addressed in recent days.,"2,921",/2021/am-i-responsible-for-my-cousins-choice-to-put-a-lightbulb-in-his-mouth-and-other-advice-column-questions
